                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.45906,                0.30301,                0.82485,                0.97727,                0.97348,                0.99201,                0.83961,                0.61043,                0.32173,                0.74326,              0.0082675,              0.0082675,              0.0082675
                     37,                0.44649,                0.29417,                0.82188,                0.97273,                0.98301,                0.99309,                0.86765,                0.56832,                 0.3082,                0.73656,               0.008218,               0.008218,               0.008218
                     38,                0.44716,                0.29647,                0.82026,                0.98376,                0.97146,                0.99272,                0.82614,                0.65241,                0.33403,                0.76029,              0.0081685,              0.0081685,              0.0081685
                     39,                0.44256,                 0.2952,                0.82307,                0.98513,                0.97797,                0.99296,                0.87836,                0.54633,                0.30273,                 0.7299,               0.008119,               0.008119,               0.008119
                     40,                0.44101,                 0.2969,                0.82123,                0.98499,                0.96893,                0.99225,                0.86513,                0.52972,                0.31599,                0.73109,              0.0080695,              0.0080695,              0.0080695
                     41,                0.44073,                0.29705,                 0.8206,                0.97976,                0.97343,                0.99236,                 0.8657,                0.56404,                0.29901,                0.73209,                0.00802,                0.00802,                0.00802
                     42,                0.43616,                 0.2839,                0.81843,                0.97926,                0.97599,                0.99297,                0.86549,                0.58079,                0.31184,                0.73459,              0.0079705,              0.0079705,              0.0079705
                     43,                0.43182,                 0.2881,                0.81882,                0.97741,                0.97954,                0.99318,                0.84684,                0.59757,                0.29887,                0.74627,               0.007921,               0.007921,               0.007921
                     44,                0.42562,                0.28296,                0.81637,                0.98417,                 0.9789,                0.99325,                0.85306,                0.60647,                  0.302,                0.73868,              0.0078715,              0.0078715,              0.0078715
                     45,                0.43515,                0.28197,                0.81914,                0.98177,                0.97835,                0.99295,                 0.8574,                0.57193,                0.29441,                0.73712,               0.007822,               0.007822,               0.007822
                     46,                0.42325,                0.28273,                0.81571,                0.98794,                0.97146,                0.99321,                0.86258,                0.55459,                 0.3058,                0.73108,              0.0077725,              0.0077725,              0.0077725
                     47,                 0.4225,                0.27808,                0.81813,                 0.9878,                0.97835,                0.99278,                0.84957,                0.64517,                0.33387,                0.75597,               0.007723,               0.007723,               0.007723
                     48,                0.42068,                0.27817,                0.81668,                0.98378,                0.97835,                0.99316,                0.85262,                0.62339,                0.33046,                0.74969,              0.0076735,              0.0076735,              0.0076735
                     49,                 0.4128,                0.27964,                0.81597,                 0.9909,                0.97835,                0.99347,                0.86299,                0.55675,                0.30424,                0.72861,               0.007624,               0.007624,               0.007624
                     50,                0.41536,                0.27449,                0.81514,                 0.9765,                0.98178,                0.99307,                0.85752,                0.57999,                0.29682,                0.73631,              0.0075745,              0.0075745,              0.0075745
                     51,                0.41466,                0.27284,                0.81516,                0.98512,                0.97638,                0.99309,                0.85576,                0.57257,                0.31305,                0.73983,               0.007525,               0.007525,               0.007525
