                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.45796,                0.31007,                0.82572,                0.61784,                0.82666,                0.72976,                0.56102,                0.65831,                 0.3836,                 0.7682,              0.0082675,              0.0082675,              0.0082675
                     37,                0.44503,                0.30219,                0.82332,                0.52299,                0.55566,                0.58222,                0.46796,                0.56453,                0.34588,                0.74507,               0.008218,               0.008218,               0.008218
                     38,                0.44653,                0.30575,                0.82246,                0.64692,                0.71594,                0.75752,                0.60662,                0.61983,                0.34037,                0.74838,              0.0081685,              0.0081685,              0.0081685
                     39,                0.44318,                 0.2937,                 0.8236,                 0.9349,                0.59293,                0.64608,                 0.4915,                0.59427,                0.32995,                0.74163,               0.008119,               0.008119,               0.008119
                     40,                0.44057,                 0.2934,                0.82144,                0.83101,                0.57849,                0.59894,                0.47644,                0.60048,                0.34343,                0.75492,              0.0080695,              0.0080695,              0.0080695
                     41,                0.43784,                0.29912,                0.82056,                0.51094,                0.58411,                0.62877,                0.49512,                0.59625,                0.32732,                0.73765,                0.00802,                0.00802,                0.00802
                     42,                0.43661,                0.29004,                0.81919,                0.59664,                0.70559,                0.73068,                0.58265,                0.63432,                0.35231,                0.74947,              0.0079705,              0.0079705,              0.0079705
                     43,                0.43253,                0.29465,                0.81938,                0.89544,                0.49436,                0.57133,                0.45417,                0.59162,                0.34975,                 0.7477,               0.007921,               0.007921,               0.007921
                     44,                0.42742,                0.29054,                0.81765,                 0.8885,                0.56273,                0.60846,                0.47836,                0.58129,                0.33083,                0.74265,              0.0078715,              0.0078715,              0.0078715
                     45,                0.43232,                 0.2886,                0.81926,                0.51259,                0.81445,                0.63834,                0.49656,                0.62226,                0.32615,                0.74575,               0.007822,               0.007822,               0.007822
                     46,                0.41991,                0.28334,                0.81462,                0.57418,                0.68068,                 0.6501,                0.51776,                0.58349,                 0.3345,                0.74231,              0.0077725,              0.0077725,              0.0077725
                     47,                0.42011,                0.28753,                0.82039,                0.80361,                0.71577,                 0.7445,                0.61252,                0.59721,                0.34175,                0.74426,               0.007723,               0.007723,               0.007723
                     48,                0.42181,                0.27962,                0.81804,                0.60967,                0.82876,                0.76002,                0.61927,                0.61014,                0.33333,                0.74212,              0.0076735,              0.0076735,              0.0076735
                     49,                0.41382,                0.28318,                 0.8172,                0.57499,                 0.6988,                0.73592,                0.61428,                0.58334,                0.32485,                0.73889,               0.007624,               0.007624,               0.007624
                     50,                 0.4144,                0.27565,                0.81605,                0.57706,                 0.6824,                0.66495,                 0.5425,                0.59567,                0.32307,                0.74451,              0.0075745,              0.0075745,              0.0075745
                     51,                0.41189,                0.27814,                0.81702,                0.54488,                0.65546,                0.59916,                0.47715,                0.55784,                0.30873,                0.73544,               0.007525,               0.007525,               0.007525
                     52,                0.41111,                0.27929,                0.81758,                 0.5509,                0.70666,                0.66003,                0.53821,                0.59541,                0.31306,                0.74273,              0.0074755,              0.0074755,              0.0074755
                     53,                 0.4079,                0.27534,                0.81487,                0.52288,                0.66598,                0.61238,                0.49415,                0.58979,                0.32125,                0.74711,               0.007426,               0.007426,               0.007426
                     54,                0.40328,                0.27048,                0.81373,                0.52884,                0.91316,                0.68867,                0.54469,                0.57528,                0.31606,                  0.738,              0.0073765,              0.0073765,              0.0073765
                     55,                0.40391,                0.27451,                0.81499,                0.60034,                0.80171,                0.69573,                0.53732,                0.57539,                0.31329,                0.73504,               0.007327,               0.007327,               0.007327
                     56,                0.40428,                 0.2709,                0.81531,                0.59437,                0.77572,                0.69089,                 0.5544,                0.59571,                0.31676,                0.74447,              0.0072775,              0.0072775,              0.0072775
                     57,                0.40044,                0.26822,                0.81464,                 0.5529,                0.78735,                0.64635,                 0.5104,                0.59335,                0.30563,                 0.7414,               0.007228,               0.007228,               0.007228
                     58,                0.39392,                0.27508,                0.81144,                 0.6061,                0.91719,                0.68808,                0.53356,                0.62183,                0.31586,                 0.7435,              0.0071785,              0.0071785,              0.0071785
                     59,                 0.3986,                0.26755,                0.81481,                0.56589,                 0.6906,                0.65695,                0.51846,                0.60439,                0.31648,                0.74664,               0.007129,               0.007129,               0.007129
                     60,                 0.3928,                 0.2672,                0.81214,                0.50228,                0.65641,                0.58256,                0.46529,                0.64769,                0.33832,                0.74725,              0.0070795,              0.0070795,              0.0070795
                     61,                0.39257,                0.26805,                0.81252,                0.55686,                0.67384,                0.61175,                0.48943,                0.60094,                0.31119,                0.74195,                0.00703,                0.00703,                0.00703
                     62,                0.39171,                0.26118,                0.81204,                0.61571,                0.89572,                0.70472,                 0.5565,                0.63596,                0.33789,                0.75545,              0.0069805,              0.0069805,              0.0069805
                     63,                0.38791,                0.26119,                0.81463,                0.57067,                0.78427,                0.64183,                0.52016,                 0.5932,                0.29742,                0.75069,               0.006931,               0.006931,               0.006931
                     64,                0.38365,                  0.264,                0.81081,                0.63373,                0.63863,                0.65103,                0.50373,                0.61336,                0.32057,                0.75421,              0.0068815,              0.0068815,              0.0068815
                     65,                 0.3843,                0.26429,                0.81331,                 0.6591,                0.63795,                0.64848,                0.51571,                0.60812,                0.31608,                0.74883,               0.006832,               0.006832,               0.006832
                     66,                0.38708,                0.26096,                0.81032,                 0.5196,                0.64718,                0.57429,                0.45349,                0.58306,                0.31501,                0.73698,              0.0067825,              0.0067825,              0.0067825
                     67,                0.38027,                0.25286,                0.81198,                0.61402,                0.80068,                0.66565,                   0.52,                0.60212,                0.29352,                0.74065,               0.006733,               0.006733,               0.006733
                     68,                0.37539,                0.25569,                0.80911,                0.54155,                0.89572,                0.65686,                0.53366,                0.59845,                0.30662,                0.74364,              0.0066835,              0.0066835,              0.0066835
                     69,                0.37745,                0.25511,                0.81146,                0.63047,                0.69025,                0.66682,                0.50946,                0.62557,                0.30565,                 0.7468,               0.006634,               0.006634,               0.006634
                     70,                0.37548,                0.25398,                0.80701,                 0.5138,                 0.6482,                0.57704,                0.46208,                0.61451,                 0.3075,                0.74215,              0.0065845,              0.0065845,              0.0065845
                     71,                0.36977,                0.25492,                0.80772,                0.80589,                0.63726,                0.72106,                0.54292,                0.58654,                0.28558,                0.73247,               0.006535,               0.006535,               0.006535
                     72,                0.37067,                0.25394,                0.81117,                0.74603,                 0.7253,                0.72522,                0.57625,                0.57893,                0.28856,                0.73739,              0.0064855,              0.0064855,              0.0064855
                     73,                 0.3693,                0.25165,                0.80704,                0.63252,                0.63897,                0.67757,                0.50785,                0.56824,                0.29526,                0.73275,               0.006436,               0.006436,               0.006436
                     74,                0.36877,                0.24616,                0.80779,                0.58217,                0.63966,                0.60154,                 0.4846,                 0.5843,                0.29968,                0.73215,              0.0063865,              0.0063865,              0.0063865
